Model,CV Mean,CV Std,Test Accuracy
XGBoost,0.9042393122823261,0.0004389577077486229,0.9045951565248865
Random Forest,0.9023558749565967,0.0008667723914022529,0.9015648279867675
Logistic Regression,0.892296846557729,0.0006505623573505485,0.8904957112433607
